Source,NEW FORMAT,Linear A
KN ZA 10,TA-NU-MU-TI ,tnmt
KN ZA 10,JA-SA-SA-RA-MA,jssrm
KN ZA 10,YA-SA-SA-RA-MA,yssrm
KN ZA 10,I-JA,ij
KN ZA 10,I-YA,iy
KN ZA 17,JA-QE ,jq
KN ZA 17,YA-QE ,yq
KN ZA 18,JA-WA,jw
KN ZA 18,YA-WA,yw
KN ZA 19,KE-JU-MI,kjm
KN ZA 19,KE-YU-MI,kym
KY ZA 2,DA-MA-TE,dmt
PK ZA 4,A-SA-SA-RA,assrm
PK ZA 8,TU-ME-I,tmi
PK ZA 8,I-PI,ip
PK ZA 10,I-PI-NA-MI-NA ,ipnmn
PK ZA 10,SI-RU,sr
PK ZA 11,A-DI-KI-TE-TE-DU,adkttd
PK ZA 11,PU-RE ,pr
PK ZA 11,PI-TE-RI ,ptr
PK ZA 11,A-KO-A-NE ,akan
PK ZA 11,A-SA-SA-RA-ME ,assrm
PK ZA 11,U-NA-RU-KA-NA-TI ,unrknt
PK ZA 11,I-PI-NA-MI-NA ,ipnmn
PK ZA 11,SI-RU-DU ,srd
PK ZA 11,I-NA-JA-PA-QA,injpq
PK ZA 11,I-NA-YA-PA-QA,inypq
PK ZA 12,A-DI-KI-TE,adkt999999
PK ZA 12,U-NA-RU-KA-NA-JA-SI ,unrknjs
PK ZA 14,TU-ME-I,tmi
PK ZA 14,JA-SA-SA,jss
PK ZA 14,YA-SA-SA,yss
PK ZA 16,TO-SA,ts
PK ZA 17,I-DA ,id
PK ZA 18,I-DA,id 
PK ZA 18,JA-JA,jj
PK ZA 18,YA-YA,yy
PK ZA 20,U-NA-KA,unk
PR ZA 1,SE-TO-I-JA,stij
PR ZA 1,SE-TO-I-YA,stiy
PR ZA 1,A-SA-SA-RA-ME,assrm
PS ZA 2,RE-I-KE,rik
PS ZA 2,JA-T ,
PS ZA 2,YA-T ,
PS ZA 2,JA-SA-SA-RA-ME,jssrm
PS ZA 2,YA-SA-SA-RA-ME,yssrm
SY ZA 1,I-DA-MI,idm
SY ZA 2,A-JA,aj 
SY ZA 2,A-YA,ay 
SY ZA 5,MI-JA ,mj
SY ZA 5,MI-YA ,my
SY ZA 6,DA-SE-RA-TE,dsrt
SY ZA 8,JA-JA,jj
SY ZA 8,YA-YA,yy
SY ZA 9,JA-PA-RA-JA-SE,jprjs
SY ZA 9,YA-PA-RA-YA-SE,yprys
SY ZA 10,QA-SA-RA-KU,qsrk
SY ZA 11,QA-RO ,qr
TR ZA 1,O-SU-QA-RE ,osqr
TR ZA 1,JA-SA-SA-RA-ME ,jssrm
TR ZA 1,YA-SA-SA-RA-ME ,yssrm
TR ZA 1,U-NA-KA-NA-SI,unkns
TR ZA 1,NA-MA  ,nm
TR ZA 1,SI-RU ,sr
HS Zg 1,A-MA,am
IO Za 2,JA-DI-KI-TU,jdkt
IO Za 2,JA-SA-SA-RA-ME,jssrm
IO Za 2,U-NA-KA-NA-SI,unkns
IO Za 2,I-PI-NA-MA,ipnm
IO Za 2,SI-RU-TE,srt
IO Za 2,TA-NA-RA-TE-U-TI-NU,tnrtutn
IO Za 2,I-DA,id
IO Za 6,I-NA-TA-I-ZO-DI-SI-KA,intizdsk
IO Za 6,JA-SA-SA-RA-ME,jssrm
IO Za 9,U-NA-KA-NA-SI,unkns
IO Za 9,JA-SA-SA-RA-ME,jssrm
KH 88,QA-NU-MA,qnm
KH 88,PU-DE,pd
SY Za 1,I-DA-MI,idm
SY Za 2,JA-SU-MA-TU,jsmt
SY Za 2,YA-SU-MA-TU,ysmt
SY Za 2,U-NA-KA-NA-SI,unakns
SY Za 2,A-JA,aj
